model,backend,defense,capability,value,delta
Gemini 3.1 Pro Preview,Context,No Untrusted Write,Untr. Probe,0.0,-100.0
Gemini 3.1 Pro Preview,No Mem.,Limit Memory Length,Untr. Probe,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,Limit Memory Length,Untr. Probe,65.0,-15.0
Gemini 3.1 Pro Preview,Mem0,Limit Memory Length,Untr. Probe,85.0,-10.0
Gemini 3.1 Pro Preview,RAG,Limit Memory Length,Untr. Probe,95.0,-5.0
Gemini 3.1 Pro Preview,Context,Limit Memory Length,Untr. Probe,,
Gemini 3.1 Pro Preview,No Mem.,Provable Policy,Untr. Probe,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,Provable Policy,Untr. Probe,80.0,0.0
Gemini 3.1 Pro Preview,Mem0,Provable Policy,Untr. Probe,85.0,-10.0
Gemini 3.1 Pro Preview,RAG,Provable Policy,Untr. Probe,100.0,0.0
Gemini 3.1 Pro Preview,Context,Provable Policy,Untr. Probe,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,None (Baseline),Untr. Send,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,None (Baseline),Untr. Send,60.0,0.0
Gemini 3.1 Pro Preview,Mem0,None (Baseline),Untr. Send,80.0,0.0
Gemini 3.1 Pro Preview,RAG,None (Baseline),Untr. Send,95.0,0.0
Gemini 3.1 Pro Preview,Context,None (Baseline),Untr. Send,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,User Prompt Only,Untr. Send,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,User Prompt Only,Untr. Send,,
Gemini 3.1 Pro Preview,Mem0,User Prompt Only,Untr. Send,85.0,5.0
Gemini 3.1 Pro Preview,RAG,User Prompt Only,Untr. Send,100.0,5.0
Gemini 3.1 Pro Preview,Context,User Prompt Only,Untr. Send,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,No Untrusted Write,Untr. Send,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,No Untrusted Write,Untr. Send,0.0,-60.0
Gemini 3.1 Pro Preview,Mem0,No Untrusted Write,Untr. Send,0.0,-80.0
Gemini 3.1 Pro Preview,RAG,No Untrusted Write,Untr. Send,0.0,-95.0
Gemini 3.1 Pro Preview,Context,No Untrusted Write,Untr. Send,0.0,-100.0
Gemini 3.1 Pro Preview,No Mem.,Limit Memory Length,Untr. Send,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,Limit Memory Length,Untr. Send,20.0,-40.0
Gemini 3.1 Pro Preview,Mem0,Limit Memory Length,Untr. Send,70.0,-10.0
Gemini 3.1 Pro Preview,RAG,Limit Memory Length,Untr. Send,75.0,-20.0
Gemini 3.1 Pro Preview,Context,Limit Memory Length,Untr. Send,,
Gemini 3.1 Pro Preview,No Mem.,Provable Policy,Untr. Send,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,Provable Policy,Untr. Send,0.0,-60.0
Gemini 3.1 Pro Preview,Mem0,Provable Policy,Untr. Send,0.0,-80.0
Gemini 3.1 Pro Preview,RAG,Provable Policy,Untr. Send,0.0,-95.0
Gemini 3.1 Pro Preview,Context,Provable Policy,Untr. Send,0.0,-100.0
GPT-5-mini,No Mem.,None (Baseline),Asst. Resp.,0.0,0.0
GPT-5-mini,Explicit,None (Baseline),Asst. Resp.,55.0,0.0
GPT-5-mini,Mem0,None (Baseline),Asst. Resp.,30.0,0.0
GPT-5-mini,RAG,None (Baseline),Asst. Resp.,100.0,0.0
GPT-5-mini,Context,None (Baseline),Asst. Resp.,100.0,0.0
GPT-5-mini,No Mem.,User Prompt Only,Asst. Resp.,5.0,5.0
GPT-5-mini,Explicit,User Prompt Only,Asst. Resp.,,
GPT-5-mini,Mem0,User Prompt Only,Asst. Resp.,0.0,-30.0
GPT-5-mini,RAG,User Prompt Only,Asst. Resp.,0.0,-100.0
GPT-5-mini,Context,User Prompt Only,Asst. Resp.,5.0,-95.0
GPT-5-mini,No Mem.,No Untrusted Write,Asst. Resp.,0.0,0.0
GPT-5-mini,Explicit,No Untrusted Write,Asst. Resp.,55.0,0.0
GPT-5-mini,Mem0,No Untrusted Write,Asst. Resp.,35.0,5.0
GPT-5-mini,RAG,No Untrusted Write,Asst. Resp.,100.0,0.0
GPT-5-mini,Context,No Untrusted Write,Asst. Resp.,95.0,-5.0
GPT-5-mini,No Mem.,Limit Memory Length,Asst. Resp.,10.0,10.0
GPT-5-mini,Explicit,Limit Memory Length,Asst. Resp.,50.0,-5.0
GPT-5-mini,Mem0,Limit Memory Length,Asst. Resp.,30.0,0.0
GPT-5-mini,RAG,Limit Memory Length,Asst. Resp.,85.0,-15.0
GPT-5-mini,Context,Limit Memory Length,Asst. Resp.,,
GPT-5-mini,No Mem.,Provable Policy,Asst. Resp.,10.0,10.0
GPT-5-mini,Explicit,Provable Policy,Asst. Resp.,55.0,0.0
GPT-5-mini,Mem0,Provable Policy,Asst. Resp.,30.0,0.0
GPT-5-mini,RAG,Provable Policy,Asst. Resp.,100.0,0.0
GPT-5-mini,Context,Provable Policy,Asst. Resp.,100.0,0.0
GPT-5-mini,No Mem.,None (Baseline),Dis. Send,100.0,0.0
GPT-5-mini,Explicit,None (Baseline),Dis. Send,100.0,0.0
GPT-5-mini,Mem0,None (Baseline),Dis. Send,100.0,0.0
GPT-5-mini,RAG,None (Baseline),Dis. Send,100.0,0.0
GPT-5-mini,Context,None (Baseline),Dis. Send,100.0,0.0
GPT-5-mini,No Mem.,User Prompt Only,Dis. Send,100.0,0.0
GPT-5-mini,Explicit,User Prompt Only,Dis. Send,,
GPT-5-mini,Mem0,User Prompt Only,Dis. Send,100.0,0.0
GPT-5-mini,RAG,User Prompt Only,Dis. Send,100.0,0.0
GPT-5-mini,Context,User Prompt Only,Dis. Send,100.0,0.0
GPT-5-mini,No Mem.,No Untrusted Write,Dis. Send,100.0,0.0
GPT-5-mini,Explicit,No Untrusted Write,Dis. Send,100.0,0.0
GPT-5-mini,Mem0,No Untrusted Write,Dis. Send,100.0,0.0
GPT-5-mini,RAG,No Untrusted Write,Dis. Send,100.0,0.0
GPT-5-mini,Context,No Untrusted Write,Dis. Send,100.0,0.0
GPT-5-mini,No Mem.,Limit Memory Length,Dis. Send,100.0,0.0
GPT-5-mini,Explicit,Limit Memory Length,Dis. Send,100.0,0.0
GPT-5-mini,Mem0,Limit Memory Length,Dis. Send,100.0,0.0
GPT-5-mini,RAG,Limit Memory Length,Dis. Send,100.0,0.0
GPT-5-mini,Context,Limit Memory Length,Dis. Send,,
GPT-5-mini,No Mem.,Provable Policy,Dis. Send,0.0,-100.0
GPT-5-mini,Explicit,Provable Policy,Dis. Send,0.0,-100.0
GPT-5-mini,Mem0,Provable Policy,Dis. Send,0.0,-100.0
GPT-5-mini,RAG,Provable Policy,Dis. Send,0.0,-100.0
GPT-5-mini,Context,Provable Policy,Dis. Send,0.0,-100.0
GPT-5-mini,No Mem.,None (Baseline),Long Mem.,0.0,0.0
GPT-5-mini,Explicit,None (Baseline),Long Mem.,50.0,0.0
GPT-5-mini,Mem0,None (Baseline),Long Mem.,75.0,0.0
GPT-5-mini,RAG,None (Baseline),Long Mem.,100.0,0.0
GPT-5-mini,Context,None (Baseline),Long Mem.,5.0,0.0
GPT-5-mini,No Mem.,User Prompt Only,Long Mem.,0.0,0.0
GPT-5-mini,Explicit,User Prompt Only,Long Mem.,,
GPT-5-mini,Mem0,User Prompt Only,Long Mem.,55.0,-20.0
GPT-5-mini,RAG,User Prompt Only,Long Mem.,95.0,-5.0
GPT-5-mini,Context,User Prompt Only,Long Mem.,0.0,-5.0
GPT-5-mini,No Mem.,No Untrusted Write,Long Mem.,0.0,0.0
GPT-5-mini,Explicit,No Untrusted Write,Long Mem.,65.0,15.0
GPT-5-mini,Mem0,No Untrusted Write,Long Mem.,80.0,5.0
GPT-5-mini,RAG,No Untrusted Write,Long Mem.,100.0,0.0
GPT-5-mini,Context,No Untrusted Write,Long Mem.,0.0,-5.0
GPT-5-mini,No Mem.,Limit Memory Length,Long Mem.,0.0,0.0
GPT-5-mini,Explicit,Limit Memory Length,Long Mem.,60.0,10.0
GPT-5-mini,Mem0,Limit Memory Length,Long Mem.,65.0,-10.0
GPT-5-mini,RAG,Limit Memory Length,Long Mem.,100.0,0.0
GPT-5-mini,Context,Limit Memory Length,Long Mem.,,
GPT-5-mini,No Mem.,Provable Policy,Long Mem.,0.0,0.0
GPT-5-mini,Explicit,Provable Policy,Long Mem.,60.0,10.0
GPT-5-mini,Mem0,Provable Policy,Long Mem.,70.0,-5.0
GPT-5-mini,RAG,Provable Policy,Long Mem.,100.0,0.0
GPT-5-mini,Context,Provable Policy,Long Mem.,5.0,0.0
GPT-5-mini,No Mem.,None (Baseline),Mem. Only,0.0,0.0
GPT-5-mini,Explicit,None (Baseline),Mem. Only,50.0,0.0
GPT-5-mini,Mem0,None (Baseline),Mem. Only,100.0,0.0
GPT-5-mini,RAG,None (Baseline),Mem. Only,100.0,0.0
GPT-5-mini,Context,None (Baseline),Mem. Only,100.0,0.0
GPT-5-mini,No Mem.,User Prompt Only,Mem. Only,0.0,0.0
GPT-5-mini,Explicit,User Prompt Only,Mem. Only,,
GPT-5-mini,Mem0,User Prompt Only,Mem. Only,85.0,-15.0
GPT-5-mini,RAG,User Prompt Only,Mem. Only,100.0,0.0
GPT-5-mini,Context,User Prompt Only,Mem. Only,100.0,0.0
GPT-5-mini,No Mem.,No Untrusted Write,Mem. Only,0.0,0.0
GPT-5-mini,Explicit,No Untrusted Write,Mem. Only,60.0,10.0
GPT-5-mini,Mem0,No Untrusted Write,Mem. Only,95.0,-5.0
GPT-5-mini,RAG,No Untrusted Write,Mem. Only,100.0,0.0
GPT-5-mini,Context,No Untrusted Write,Mem. Only,100.0,0.0
GPT-5-mini,No Mem.,Limit Memory Length,Mem. Only,0.0,0.0
GPT-5-mini,Explicit,Limit Memory Length,Mem. Only,50.0,0.0
GPT-5-mini,Mem0,Limit Memory Length,Mem. Only,95.0,-5.0
GPT-5-mini,RAG,Limit Memory Length,Mem. Only,90.0,-10.0
GPT-5-mini,Context,Limit Memory Length,Mem. Only,,
GPT-5-mini,No Mem.,Provable Policy,Mem. Only,0.0,0.0
GPT-5-mini,Explicit,Provable Policy,Mem. Only,45.0,-5.0
GPT-5-mini,Mem0,Provable Policy,Mem. Only,95.0,-5.0
GPT-5-mini,RAG,Provable Policy,Mem. Only,100.0,0.0
GPT-5-mini,Context,Provable Policy,Mem. Only,100.0,0.0
GPT-5-mini,No Mem.,None (Baseline),Mem. Tools,0.0,0.0
GPT-5-mini,Explicit,None (Baseline),Mem. Tools,70.0,0.0
GPT-5-mini,Mem0,None (Baseline),Mem. Tools,100.0,0.0
GPT-5-mini,RAG,None (Baseline),Mem. Tools,100.0,0.0
GPT-5-mini,Context,None (Baseline),Mem. Tools,100.0,0.0
GPT-5-mini,No Mem.,User Prompt Only,Mem. Tools,0.0,0.0
GPT-5-mini,Explicit,User Prompt Only,Mem. Tools,,
GPT-5-mini,Mem0,User Prompt Only,Mem. Tools,100.0,0.0
GPT-5-mini,RAG,User Prompt Only,Mem. Tools,100.0,0.0
GPT-5-mini,Context,User Prompt Only,Mem. Tools,100.0,0.0
GPT-5-mini,No Mem.,No Untrusted Write,Mem. Tools,0.0,0.0
GPT-5-mini,Explicit,No Untrusted Write,Mem. Tools,65.0,-5.0
GPT-5-mini,Mem0,No Untrusted Write,Mem. Tools,100.0,0.0
GPT-5-mini,RAG,No Untrusted Write,Mem. Tools,100.0,0.0
GPT-5-mini,Context,No Untrusted Write,Mem. Tools,100.0,0.0
GPT-5-mini,No Mem.,Limit Memory Length,Mem. Tools,0.0,0.0
GPT-5-mini,Explicit,Limit Memory Length,Mem. Tools,60.0,-10.0
GPT-5-mini,Mem0,Limit Memory Length,Mem. Tools,100.0,0.0
GPT-5-mini,RAG,Limit Memory Length,Mem. Tools,75.0,-25.0
GPT-5-mini,Context,Limit Memory Length,Mem. Tools,,
GPT-5-mini,No Mem.,Provable Policy,Mem. Tools,0.0,0.0
GPT-5-mini,Explicit,Provable Policy,Mem. Tools,70.0,0.0
GPT-5-mini,Mem0,Provable Policy,Mem. Tools,100.0,0.0
GPT-5-mini,RAG,Provable Policy,Mem. Tools,100.0,0.0
GPT-5-mini,Context,Provable Policy,Mem. Tools,100.0,0.0
GPT-5-mini,No Mem.,None (Baseline),Untr. Probe,0.0,0.0
GPT-5-mini,Explicit,None (Baseline),Untr. Probe,55.0,0.0
GPT-5-mini,Mem0,None (Baseline),Untr. Probe,85.0,0.0
GPT-5-mini,RAG,None (Baseline),Untr. Probe,100.0,0.0
GPT-5-mini,Context,None (Baseline),Untr. Probe,100.0,0.0
GPT-5-mini,No Mem.,User Prompt Only,Untr. Probe,0.0,0.0
GPT-5-mini,Explicit,User Prompt Only,Untr. Probe,,
GPT-5-mini,Mem0,User Prompt Only,Untr. Probe,70.0,-15.0
GPT-5-mini,RAG,User Prompt Only,Untr. Probe,100.0,0.0
GPT-5-mini,Context,User Prompt Only,Untr. Probe,100.0,0.0
GPT-5-mini,No Mem.,No Untrusted Write,Untr. Probe,0.0,0.0
GPT-5-mini,Explicit,No Untrusted Write,Untr. Probe,15.0,-40.0
GPT-5-mini,Mem0,No Untrusted Write,Untr. Probe,25.0,-60.0
GPT-5-mini,RAG,No Untrusted Write,Untr. Probe,5.0,-95.0
GPT-5-mini,Context,No Untrusted Write,Untr. Probe,25.0,-75.0
GPT-5-mini,No Mem.,Limit Memory Length,Untr. Probe,0.0,0.0
GPT-5-mini,Explicit,Limit Memory Length,Untr. Probe,50.0,-5.0
GPT-5-mini,Mem0,Limit Memory Length,Untr. Probe,75.0,-10.0
GPT-5-mini,RAG,Limit Memory Length,Untr. Probe,95.0,-5.0
GPT-5-mini,Context,Limit Memory Length,Untr. Probe,,
GPT-5-mini,No Mem.,Provable Policy,Untr. Probe,0.0,0.0
GPT-5-mini,Explicit,Provable Policy,Untr. Probe,50.0,-5.0
GPT-5-mini,Mem0,Provable Policy,Untr. Probe,80.0,-5.0
GPT-5-mini,RAG,Provable Policy,Untr. Probe,100.0,0.0
GPT-5-mini,Context,Provable Policy,Untr. Probe,100.0,0.0
GPT-5-mini,No Mem.,None (Baseline),Untr. Send,0.0,0.0
GPT-5-mini,Explicit,None (Baseline),Untr. Send,55.0,0.0
GPT-5-mini,Mem0,None (Baseline),Untr. Send,70.0,0.0
GPT-5-mini,RAG,None (Baseline),Untr. Send,95.0,0.0
GPT-5-mini,Context,None (Baseline),Untr. Send,85.0,0.0
GPT-5-mini,No Mem.,User Prompt Only,Untr. Send,0.0,0.0
GPT-5-mini,Explicit,User Prompt Only,Untr. Send,,
GPT-5-mini,Mem0,User Prompt Only,Untr. Send,70.0,0.0
GPT-5-mini,RAG,User Prompt Only,Untr. Send,90.0,-5.0
GPT-5-mini,Context,User Prompt Only,Untr. Send,95.0,10.0
GPT-5-mini,No Mem.,No Untrusted Write,Untr. Send,0.0,0.0
GPT-5-mini,Explicit,No Untrusted Write,Untr. Send,0.0,-55.0
GPT-5-mini,Mem0,No Untrusted Write,Untr. Send,0.0,-70.0
GPT-5-mini,RAG,No Untrusted Write,Untr. Send,0.0,-95.0
GPT-5-mini,Context,No Untrusted Write,Untr. Send,0.0,-85.0
GPT-5-mini,No Mem.,Limit Memory Length,Untr. Send,0.0,0.0
GPT-5-mini,Explicit,Limit Memory Length,Untr. Send,0.0,-55.0
GPT-5-mini,Mem0,Limit Memory Length,Untr. Send,65.0,-5.0
GPT-5-mini,RAG,Limit Memory Length,Untr. Send,70.0,-25.0
